Wavelength,R,G,B
392.0,0.000000000E+00,1.680000000E-05,1.500000000E-05
396.0,0.000000000E+00,2.070000000E-05,8.000000000E-06
400.0,0.000000000E+00,4.300000000E-06,0.000000000E+00
404.0,0.000000000E+00,0.000000000E+00,5.040000000E-06
408.0,4.290000000E-06,0.000000000E+00,5.560000000E-07
412.0,3.170000000E-06,8.100000000E-07,6.800000000E-06
416.0,2.300000000E-06,7.130000000E-06,2.180000000E-05
420.0,6.740000000E-06,7.760000000E-06,5.950000000E-05
424.0,7.900000000E-06,3.350000000E-06,1.340000000E-04
428.0,8.730000000E-06,2.030000000E-06,3.230000000E-04
432.0,2.110000000E-05,2.130000000E-05,8.376000000E-04
436.0,3.120000000E-05,1.490000000E-05,2.185000000E-03
440.0,3.770000000E-05,3.280000000E-05,5.469000000E-03
444.0,5.100000000E-05,7.010000000E-05,1.103000000E-02
448.0,6.190000000E-05,1.136000000E-04,2.095000000E-02
452.0,7.830000000E-05,2.008000000E-04,3.720000000E-02
456.0,9.620000000E-05,2.820000000E-04,5.545000000E-02
460.0,1.024000000E-04,3.100000000E-04,6.275000000E-02
464.0,8.580000000E-05,2.576000000E-04,5.111000000E-02
468.0,6.060000000E-05,1.787000000E-04,3.210000000E-02
472.0,3.280000000E-05,1.469000000E-04,2.253000000E-02
476.0,3.510000000E-05,1.268000000E-04,1.619000000E-02
480.0,3.790000000E-05,1.246000000E-04,1.080000000E-02
484.0,3.330000000E-05,1.497000000E-04,7.141000000E-03
488.0,2.720000000E-05,2.446000000E-04,4.994000000E-03
492.0,2.290000000E-05,4.038000000E-04,3.425000000E-03
496.0,2.030000000E-05,6.244000000E-04,2.432000000E-03
500.0,9.060000000E-06,8.955000000E-04,1.958000000E-03
504.0,1.650000000E-05,1.349000000E-03,1.917000000E-03
508.0,2.780000000E-05,2.085000000E-03,2.120000000E-03
512.0,4.470000000E-05,3.278000000E-03,2.529000000E-03
516.0,7.050000000E-05,5.451000000E-03,3.210000000E-03
520.0,1.259000000E-04,8.864000000E-03,4.024000000E-03
524.0,1.798000000E-04,1.368000000E-02,4.850000000E-03
528.0,2.485000000E-04,1.930000000E-02,5.317000000E-03
532.0,3.181000000E-04,2.402000000E-02,5.103000000E-03
536.0,3.693000000E-04,2.786000000E-02,4.378000000E-03
540.0,4.115000000E-04,3.117000000E-02,3.519000000E-03
544.0,4.354000000E-04,3.361000000E-02,2.837000000E-03
548.0,4.509000000E-04,3.616000000E-02,2.313000000E-03
552.0,4.578000000E-04,3.686000000E-02,1.826000000E-03
556.0,4.170000000E-04,3.485000000E-02,1.362000000E-03
560.0,3.652000000E-04,3.015000000E-02,9.277000000E-04
564.0,3.037000000E-04,2.542000000E-02,6.885000000E-04
568.0,2.606000000E-04,2.141000000E-02,5.375000000E-04
572.0,2.065000000E-04,1.763000000E-02,4.130000000E-04
576.0,1.555000000E-04,1.432000000E-02,3.274000000E-04
580.0,1.398000000E-04,1.085000000E-02,2.465000000E-04
584.0,1.374000000E-04,7.966000000E-03,1.908000000E-04
588.0,2.637000000E-04,5.569000000E-03,1.479000000E-04
592.0,6.928000000E-04,3.825000000E-03,9.870000000E-05
596.0,1.511000000E-03,2.651000000E-03,5.520000000E-05
600.0,2.551000000E-03,1.731000000E-03,5.920000000E-05
604.0,3.006000000E-03,1.175000000E-03,4.730000000E-05
608.0,3.558000000E-03,8.580000000E-04,2.550000000E-05
612.0,3.981000000E-03,6.807000000E-04,5.060000000E-06
616.0,5.170000000E-03,6.134000000E-04,1.940000000E-05
620.0,1.569000000E-02,1.213000000E-03,1.660000000E-05
624.0,2.924000000E-02,1.925000000E-03,1.250000000E-05
628.0,2.557000000E-02,1.622000000E-03,1.670000000E-05
632.0,1.305000000E-02,8.305000000E-04,5.280000000E-06
636.0,1.464000000E-02,9.016000000E-04,1.240000000E-05
